CustomerKey,CustomerName,State,Channel,ChurnDate
2045,Account 2045,NSW,Cafe / Food Service,
2046,Account 2046,VIC,Independent Grocer,
2047,Account 2047,NSW,Independent Grocer,
2048,Account 2048,QLD,Convenience,
2049,Account 2049,WA,Independent Grocer,2025-11-18
2050,Account 2050,VIC,Cafe / Food Service,
2051,Account 2051,SA,Convenience,2025-11-21
2052,Account 2052,QLD,Independent Grocer,
2053,Account 2053, VIC ,Independent Grocer,
2054,Account 2054,TAS,Independent Grocer,
2055,Account 2055,NSW,Independent Grocer,2026-01-12
2056,Account 2056,WA,Online Retail,
2057,Account 2057,VIC,Cafe / Food Service,
2058,Account 2058,VIC,Online Retail,
2059,Account 2059,SA,Convenience,
2060,Account 2060,NSW,Cafe / Food Service,
2061,Account 2061,NSW,Cafe / Food Service,
2062,Account 2062,NSW,Independent Grocer,
2063,Account 2063,NSW,Independent Grocer,
2064,Account 2064,QLD,Cafe / Food Service,
2065,Account 2065,TAS,Convenience,
2066,Account 2066,QLD,Independent Grocer,
2067,Account 2067,WA,Independent Grocer,
2068,Account 2068,WA,Online Retail,
2069,Account 2069,VIC,Convenience,
2070,Account 2070,QLD,Independent Grocer,
2071,Account 2071,QLD,Convenience,
2072,Account 2072,TAS,Independent Grocer,
2073,Account 2073,VIC,Independent Grocer,
2074,Account 2074,WA,Convenience,
2075,Account 2075,SA,Independent Grocer,2025-11-04
2076,Account 2076,NSW,Independent Grocer,
2077,Account 2077, sa ,Online Retail,2025-12-27
2078,Account 2078,QLD,Online Retail,
2079,Account 2079,VIC,Independent Grocer,
2080,Account 2080,nsw,Online Retail,
2081,Account 2081,NSW,Online Retail,
2082,Account 2082,NSW,Convenience,
2083,Account 2083,qld,Convenience,
2084,Account 2084,TAS,Cafe / Food Service,2025-12-08
2085,Account 2085,WA,Convenience,
2086,Account 2086,QLD,Cafe / Food Service,2025-04-02
2087,Account 2087,WA,Cafe / Food Service,2025-11-26
2088,Account 2088,NSW,Independent Grocer,
2089,Account 2089,VIC,Independent Grocer,
2090,Account 2090,WA,Online Retail,2025-10-16
2091,Account 2091,VIC,Online Retail,
2092,Account 2092,QLD,Independent Grocer,
2093,Account 2093,SA,Independent Grocer,
2094,Account 2094,VIC,Online Retail,
2095,Account 2095,SA,Cafe / Food Service,
2096,Account 2096,VIC,Convenience,
2097,Account 2097,nsw,Independent Grocer,
2098,Account 2098,VIC,Independent Grocer,
2099,Account 2099,NSW,Independent Grocer,2026-01-29
2100,Account 2100,VIC,Independent Grocer,
2101,Account 2101,NSW,Independent Grocer,
2102,Account 2102,VIC,Convenience,
2103,Account 2103,vic,Independent Grocer,
2104,Account 2104,QLD,Cafe / Food Service,
2105,Account 2105,NSW,Cafe / Food Service,
2106,Account 2106,NSW,Convenience,
2107,Account 2107,QLD,Independent Grocer,
2108,Account 2108,vic,Convenience,
2109,Account 2109,VIC,Convenience,
2110,Account 2110,SA,Independent Grocer,
2111,Account 2111,NSW,Independent Grocer,
2112,Account 2112,NSW,Independent Grocer,
2113,Account 2113,VIC,Online Retail,
2114,Account 2114,WA,Independent Grocer,
2115,Account 2115,WA,Independent Grocer,
2116,Account 2116,WA,Cafe / Food Service,2026-03-28
2117,Account 2117,QLD,Online Retail,
2118,Account 2118,VIC,Independent Grocer,
2119,Account 2119,NSW,Cafe / Food Service,
2120,Account 2120,SA,Cafe / Food Service,
2121,Account 2121,NSW,Convenience,
2122,Account 2122,VIC,Convenience,
2123,Account 2123,NSW,Convenience,2026-03-07
2124,Account 2124,VIC,Cafe / Food Service,
2125,Account 2125,SA,Convenience,
2126,Account 2126,NSW,Independent Grocer,
2127,Account 2127,vic,Convenience,
2128,Account 2128,NSW,Cafe / Food Service,2025-07-09
2129,Account 2129,VIC,Cafe / Food Service,2025-06-21
2130,Account 2130,SA,Independent Grocer,
2131,Account 2131,NSW,Convenience,
2132,Account 2132,VIC,Independent Grocer,
2133,Account 2133,WA,Online Retail,
2134,Account 2134,QLD,Cafe / Food Service,
2135,Account 2135,NSW,Convenience,
2136,Account 2136,VIC,Cafe / Food Service,
2137,Account 2137,QLD,Cafe / Food Service,2026-03-17
2138,Account 2138,VIC,Independent Grocer,
2139,Account 2139,WA,Cafe / Food Service,
2140,Account 2140,NSW,Cafe / Food Service,
2141,Account 2141,QLD,Independent Grocer,
2142,Account 2142,QLD,Independent Grocer,2025-07-21
2143,Account 2143,NSW,Independent Grocer,
2144,Account 2144,WA,Cafe / Food Service,
2145,Account 2145,NSW,Online Retail,2025-08-12
2146,Account 2146,SA,Online Retail,
2147,Account 2147,VIC,Convenience,
2148,Account 2148,nsw,Independent Grocer,
2149,Account 2149,QLD,Cafe / Food Service,
2150,Account 2150,VIC,Independent Grocer,
2151,Account 2151,NSW,Online Retail,
2152,Account 2152,QLD,Convenience,2025-04-06
2153,Account 2153,TAS,Online Retail,
2154,Account 2154,tas,Online Retail,
2155,Account 2155, QLD ,Online Retail,
2156,Account 2156,SA,Independent Grocer,
2157,Account 2157,WA,Independent Grocer,2025-06-13
2158,Account 2158,nsw,Convenience,
2159,Account 2159,VIC,Convenience,
2160,Account 2160,QLD,Independent Grocer,
2161,Account 2161,VIC,Independent Grocer,
2162,Account 2162,NSW,Independent Grocer,
2163,Account 2163,QLD,Cafe / Food Service,
2164,Account 2164,VIC,Independent Grocer,
2165,Account 2165,NSW,Cafe / Food Service,2025-09-11
2166,Account 2166,wa,Convenience,
2167,Account 2167,QLD,Cafe / Food Service,
2168,Account 2168,VIC,Cafe / Food Service,
2169,Account 2169,WA,Convenience,
2170,Account 2170,QLD,Independent Grocer,
2171,Account 2171,NSW,Cafe / Food Service,
2172,Account 2172,SA,Independent Grocer,
2173,Account 2173,VIC,Independent Grocer,
2174,Account 2174,VIC,Independent Grocer,
2175,Account 2175,QLD,Convenience,
2176,Account 2176,VIC,Online Retail,
2177,Account 2177,vic,Online Retail,
2178,Account 2178, NSW ,Cafe / Food Service,2025-06-14
2179,Account 2179,NSW,Online Retail,
2180,Account 2180,NSW,Independent Grocer,
